doc_id,year,month,day,views
John Donne,2023,8,8,1326
John Donne,2023,8,9,1338
John Donne,2023,8,10,1229
John Donne,2023,8,11,1119
John Donne,2023,8,12,1233
John Donne,2023,8,13,1364
John Donne,2023,8,14,1291
John Donne,2023,8,15,1144
John Donne,2023,8,16,1277
John Donne,2023,8,17,1220
John Donne,2023,8,18,1815
John Donne,2023,8,19,1165
John Donne,2023,8,20,1354
John Donne,2023,8,21,1206
John Donne,2023,8,22,1173
John Donne,2023,8,23,1149
John Donne,2023,8,24,1146
John Donne,2023,8,25,1021
John Donne,2023,8,26,1041
John Donne,2023,8,27,1064
John Donne,2023,8,28,1084
John Donne,2023,8,29,1098
John Donne,2023,8,30,986
John Donne,2023,8,31,944
John Donne,2023,9,1,945
John Donne,2023,9,2,961
John Donne,2023,9,3,987
John Donne,2023,9,4,1096
John Donne,2023,9,5,1079
John Donne,2023,9,6,1107
John Donne,2023,9,7,1120
John Donne,2023,9,8,1076
John Donne,2023,9,9,1027
John Donne,2023,9,10,1159
John Donne,2023,9,11,1181
John Donne,2023,9,12,1213
John Donne,2023,9,13,1130
John Donne,2023,9,14,1272
John Donne,2023,9,15,1206
John Donne,2023,9,16,1089
John Donne,2023,9,17,1308
John Donne,2023,9,18,1366
John Donne,2023,9,19,1259
John Donne,2023,9,20,1182
John Donne,2023,9,21,1176
John Donne,2023,9,22,1083
John Donne,2023,9,23,1050
John Donne,2023,9,24,1060
John Donne,2023,9,25,1410
John Donne,2023,9,26,2594
John Donne,2023,9,27,1182
John Donne,2023,9,28,1106
John Donne,2023,9,29,1004
Emilia Lanier,2023,8,1,66
Emilia Lanier,2023,8,2,57
Emilia Lanier,2023,8,3,64
Emilia Lanier,2023,8,4,81
Emilia Lanier,2023,8,5,89
Emilia Lanier,2023,8,6,114
Emilia Lanier,2023,8,7,110
Emilia Lanier,2023,8,8,122
Emilia Lanier,2023,8,9,101
Emilia Lanier,2023,8,10,77
Emilia Lanier,2023,8,11,61
Emilia Lanier,2023,8,12,75
Emilia Lanier,2023,8,13,83
Emilia Lanier,2023,8,14,80
Emilia Lanier,2023,8,15,104
Emilia Lanier,2023,8,16,73
Emilia Lanier,2023,8,17,67
Emilia Lanier,2023,8,18,59
Emilia Lanier,2023,8,19,49
Emilia Lanier,2023,8,20,62
Emilia Lanier,2023,8,21,62
Emilia Lanier,2023,8,22,65
