food_code,food_code_description,category_number,category_description
91107000,"Sugar substitute, sucralose, powder",8804,Sugar substitutes
91108000,"Sugar substitute, stevia, powder",8804,Sugar substitutes
91108010,"Sugar substitute, stevia, liquid",8804,Sugar substitutes
91108020,"Sugar substitute, monk fruit, powder",8804,Sugar substitutes
91200000,"Sugar substitute, powder, NFS",8804,Sugar substitutes
91200005,"Sugar substitute, liquid, NFS",8804,Sugar substitutes
91200040,"Sugar substitute, saccharin, powder",8804,Sugar substitutes
91200110,"Sugar substitute, saccharin, liquid",8804,Sugar substitutes
91201010,"Sugar substitute, aspartame, powder",8804,Sugar substitutes
91300010,"Syrup, NFS",8806,"Jams, syrups, toppings"
91300100,Pancake syrup,8806,"Jams, syrups, toppings"
91301030,Corn syrup,8806,"Jams, syrups, toppings"
91301050,Blueberry syrup,8806,"Jams, syrups, toppings"
91301080,Chocolate syrup,8806,"Jams, syrups, toppings"
91301081,"Chocolate syrup, light",8806,"Jams, syrups, toppings"
91301100,Simple syrup,8806,"Jams, syrups, toppings"
91301130,Strawberry drink syrup,8806,"Jams, syrups, toppings"
91301510,"Pancake syrup, light",8806,"Jams, syrups, toppings"
91302010,Honey,8802,Sugars and honey
91302020,Agave liquid sweetener,8802,Sugars and honey
91303000,Molasses,8802,Sugars and honey
91304010,"Topping, butterscotch or caramel",8806,"Jams, syrups, toppings"
91304020,"Topping, chocolate",8806,"Jams, syrups, toppings"
91304030,"Topping, fruit",8806,"Jams, syrups, toppings"
91304040,"Topping, marshmallow",8806,"Jams, syrups, toppings"
91304060,"Topping, nuts and syrup",8806,"Jams, syrups, toppings"
91304090,Chocolate hazelnut spread,8806,"Jams, syrups, toppings"
91305010,"Icing, chocolate",8806,"Jams, syrups, toppings"
91305020,"Icing, white",8806,"Jams, syrups, toppings"
91306020,"Caramel dip, regular",8806,"Jams, syrups, toppings"
91306025,"Caramel dip, light",8806,"Jams, syrups, toppings"
91306030,Chocolate dip,8806,"Jams, syrups, toppings"
91306040,Dessert dip,8806,"Jams, syrups, toppings"
91361010,Sweet and sour sauce,8406,Mustard and other condiments
91361040,Dessert sauce,8806,"Jams, syrups, toppings"
91361050,Duck sauce,8406,Mustard and other condiments
91400000,"Jam or jelly, NFS",8806,"Jams, syrups, toppings"
91401000,Jelly,8806,"Jams, syrups, toppings"
91402000,Jam,8806,"Jams, syrups, toppings"
